Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season
42.0,Anthony Parker,34.0,CLE,SG,11.0,11.0,331.0,9.8,0.644,0.688,0.234,0.4,8.8,4.7,6.6,1.4,0.6,13.5,11.5,0.3,0.3,0.6,0.086,0.8,0.7,1.5,0.3,,2009-10
43.0,Matt Barnes,29.0,ORL,SF,14.0,14.0,326.0,12.6,0.531,0.427,0.267,6.3,18.4,12.6,9.9,1.7,0.8,10.7,14.2,0.4,0.7,1.1,0.156,0.7,1.5,2.2,0.3,,2009-10
44.0,Shannon Brown,24.0,LAL,SG,23.0,0.0,324.0,9.7,0.474,0.299,0.262,2.5,7.8,5.2,9.5,1.7,1.7,9.8,18.7,0.0,0.3,0.3,0.041,-2.6,-0.1,-2.7,-0.1,,2009-10
45.0,Paul Millsap,24.0,UTA,PF,10.0,0.0,323.0,24.5,0.61,0.016,0.475,12.3,19.9,16.0,11.8,1.7,3.4,8.1,22.2,1.1,0.2,1.3,0.195,4.0,1.3,5.4,0.6,,2009-10
46.0,Jordan Farmar,23.0,LAL,PG,23.0,0.0,301.0,11.2,0.526,0.532,0.138,0.4,10.0,5.2,16.3,3.0,0.0,16.7,18.2,0.1,0.3,0.4,0.06,-1.6,1.4,-0.2,0.1,,2009-10
47.0,Mike Bibby,31.0,ATL,PG,11.0,11.0,292.0,12.1,0.551,0.425,0.125,1.9,10.2,5.7,16.5,1.7,0.0,12.4,15.7,0.3,0.1,0.4,0.066,-0.4,0.0,-0.4,0.1,,2009-10
48.0,John Salmons,30.0,MIL,SG,7.0,7.0,285.0,15.0,0.49,0.211,0.257,2.9,7.6,5.3,17.9,2.0,1.0,9.0,22.3,0.3,0.2,0.5,0.08,0.4,1.1,1.5,0.3,,2009-10
49.0,Mickaël Piétrus,27.0,ORL,SF,14.0,0.0,282.0,15.4,0.633,0.763,0.375,0.9,7.7,4.4,6.4,1.8,1.7,6.0,17.4,0.7,0.5,1.2,0.203,3.6,2.0,5.7,0.6,,2009-10
50.0,JJ Redick,25.0,ORL,SG,14.0,0.0,269.0,12.9,0.608,0.493,0.493,1.9,8.9,5.6,12.5,2.1,0.0,18.8,19.6,0.3,0.5,0.8,0.134,0.3,1.1,1.4,0.2,,2009-10
51.0,Delonte West,26.0,CLE,SG,11.0,0.0,269.0,8.9,0.5,0.284,0.239,2.7,6.5,4.7,17.3,1.7,0.8,20.4,16.1,-0.1,0.3,0.1,0.021,-1.7,-0.4,-2.1,0.0,,2009-10
52.0,Anderson Varejão,27.0,CLE,PF,11.0,0.0,255.0,11.6,0.511,0.021,0.646,10.6,22.4,16.7,4.2,2.2,2.5,16.3,13.4,0.1,0.4,0.6,0.105,-2.3,1.2,-1.1,0.1,,2009-10
53.0,Carmelo Anthony,25.0,DEN,SF,6.0,6.0,254.0,23.3,0.564,0.138,0.413,6.6,18.3,12.3,15.0,2.4,1.0,11.4,32.1,0.6,0.1,0.7,0.132,4.0,-0.9,3.1,0.3,,2009-10
54.0,Leandro Barbosa,27.0,PHO,PG,16.0,0.0,250.0,10.5,0.506,0.34,0.233,1.0,9.0,5.1,12.9,1.1,0.6,11.7,23.6,0.0,0.1,0.1,0.014,-2.5,-1.4,-3.9,-0.1,,2009-10
55.0,Brandon Jennings,20.0,MIL,PG,7.0,7.0,249.0,17.7,0.498,0.342,0.217,2.4,7.4,4.9,19.9,1.8,1.2,5.7,26.7,0.4,0.2,0.6,0.106,2.4,1.0,3.5,0.3,,2009-10
56.0,Antonio McDyess,35.0,SAS,PF,10.0,10.0,247.0,12.8,0.541,0.0,0.032,8.3,23.1,15.7,7.8,0.4,2.3,12.5,13.6,0.2,0.3,0.5,0.088,-0.9,1.3,0.4,0.1,,2009-10
57.0,Shaquille O'Neal,37.0,CLE,C,11.0,11.0,243.0,16.2,0.559,0.0,0.505,10.6,19.2,15.0,11.7,0.4,3.8,17.4,26.4,0.1,0.3,0.4,0.082,-1.3,0.4,-0.9,0.1,,2009-10
58.0,Jason Kidd,36.0,DAL,PG,6.0,6.0,243.0,13.5,0.468,0.609,0.261,2.8,16.1,9.5,26.6,3.1,0.3,14.9,11.6,0.2,0.4,0.6,0.124,-0.2,2.5,2.3,0.3,,2009-10
59.0,Goran Dragić,23.0,PHO,PG,16.0,0.0,237.0,17.2,0.537,0.4,0.31,5.2,9.5,7.4,24.9,0.9,0.3,12.3,25.1,0.5,0.0,0.5,0.099,2.8,-1.9,0.9,0.2,,2009-10
60.0,Dirk Nowitzki,31.0,DAL,PF,6.0,6.0,233.0,28.3,0.643,0.066,0.396,3.4,20.1,11.8,16.8,1.2,1.3,7.4,27.0,1.1,0.3,1.4,0.291,8.1,2.6,10.7,0.8,,2009-10
61.0,Kevin Durant,21.0,OKC,SF,6.0,6.0,231.0,16.6,0.499,0.285,0.504,3.8,18.4,11.0,13.4,0.7,2.8,12.8,34.0,-0.1,0.3,0.3,0.054,3.0,-0.9,2.1,0.2,,2009-10
62.0,LaMarcus Aldridge,24.0,POR,PF,6.0,6.0,229.0,17.5,0.507,0.022,0.473,5.1,14.6,9.7,11.1,1.7,4.4,8.9,25.8,0.2,0.0,0.2,0.043,0.7,0.7,1.3,0.2,,2009-10
63.0,Carlos Delfino,27.0,MIL,SF,7.0,7.0,226.0,8.8,0.468,0.507,0.055,1.6,12.7,7.3,13.6,1.2,0.6,13.8,18.3,-0.1,0.2,0.0,0.009,-1.0,0.4,-0.6,0.1,,2009-10
64.0,Jeff Green,23.0,OKC,PF,6.0,6.0,224.0,8.6,0.451,0.386,0.286,2.9,11.0,6.9,8.3,0.9,1.1,7.1,17.3,0.0,0.2,0.2,0.042,-1.5,-0.6,-2.1,0.0,,2009-10
65.0,Marcin Gortat,25.0,ORL,C,14.0,0.0,212.0,14.8,0.681,0.0,0.423,14.6,21.6,18.2,7.1,0.8,1.6,8.9,7.9,0.6,0.4,1.1,0.24,1.2,1.8,3.0,0.3,,2009-10
66.0,Russell Westbrook,21.0,OKC,PG,6.0,6.0,212.0,24.3,0.571,0.132,0.418,5.2,13.7,9.4,38.9,2.5,0.4,11.5,26.2,0.6,0.3,0.9,0.208,5.8,2.4,8.2,0.6,,2009-10
67.0,Derrick Rose,21.0,CHI,PG,5.0,5.0,212.0,19.4,0.497,0.048,0.176,2.1,7.5,4.7,32.7,1.0,0.0,8.8,31.5,0.2,0.0,0.2,0.034,4.1,-1.3,2.9,0.3,,2009-10
68.0,Kyle Korver,28.0,UTA,SG,10.0,0.0,210.0,12.1,0.639,0.377,0.148,0.0,6.2,3.1,9.7,1.2,0.0,9.7,15.3,0.4,-0.1,0.3,0.066,0.3,-0.7,-0.3,0.1,,2009-10
69.0,Andre Miller,33.0,POR,PG,6.0,6.0,210.0,15.2,0.513,0.095,0.541,2.8,8.6,5.6,31.5,1.8,0.4,17.2,25.2,0.1,-0.1,0.0,0.002,0.6,-1.3,-0.7,0.1,,2009-10
70.0,Dwyane Wade,28.0,MIA,SG,5.0,5.0,210.0,29.4,0.65,0.336,0.364,3.3,14.1,8.3,40.0,2.0,3.2,16.9,34.0,0.7,0.3,1.0,0.229,10.4,3.1,13.5,0.8,,2009-10
71.0,Chauncey Billups,33.0,DEN,PG,6.0,6.0,207.0,19.6,0.601,0.373,0.506,0.6,7.9,4.2,30.6,1.4,1.2,15.1,25.6,0.6,0.0,0.6,0.131,4.4,-1.3,3.0,0.3,,2009-10
72.0,Kenyon Martin,32.0,DEN,PF,6.0,6.0,205.0,12.0,0.514,0.02,0.38,8.2,22.1,15.0,5.9,2.2,2.8,15.9,15.0,0.0,0.1,0.2,0.043,-1.7,0.2,-1.4,0.0,,2009-10
73.0,Luol Deng,24.0,CHI,SF,5.0,5.0,203.0,15.8,0.514,0.15,0.325,4.4,10.3,7.2,5.7,1.5,1.8,3.2,21.0,0.3,0.1,0.3,0.076,1.2,0.2,1.3,0.2,,2009-10
