Unnamed: 0,Team,Season,Wins,Losses,payroll,inflationAdjPayroll,revenue,Superteam
264,Atlanta Hawks,2008,47.0,35.0,,,105000000.0,0
265,New Orleans Hornets,2008,49.0,33.0,,,,0
266,Miami Heat,2008,43.0,39.0,,,,0
267,Philadelphia 76ers,2008,41.0,41.0,,,110000000.0,0
268,Chicago Bulls,2008,41.0,41.0,,,169000000.0,0
269,Detroit Pistons,2008,39.0,43.0,,,147000000.0,0
270,Indiana Pacers,2008,36.0,46.0,,,,0
271,Milwaukee Bucks,2008,34.0,48.0,,,92000000.0,0
272,Charlotte Bobcats,2008,35.0,47.0,,,98000000.0,0
273,New York Knicks,2008,32.0,50.0,,,226000000.0,0
274,New Jersey Nets,2008,34.0,48.0,,,89000000.0,0
275,Toronto Raptors,2008,33.0,49.0,,,138000000.0,0
276,Golden State Warriors,2008,29.0,53.0,,,119000000.0,0
277,Minnesota Timberwolves,2008,24.0,58.0,,,95000000.0,0
278,Memphis Grizzlies,2008,24.0,58.0,,,92000000.0,0
279,Oklahoma City Thunder,2008,23.0,59.0,,,118000000.0,0
280,Washington Wizards,2008,19.0,63.0,,,107000000.0,0
281,Sacramento Kings,2008,17.0,65.0,,,103000000.0,0
282,Los Angeles Clippers,2008,19.0,63.0,62764206.0,84992906.0,102000000.0,0
283,League Average,2008,,,,,,0
284,Team,2009,,,,,,0
285,Orlando Magic,2009,59.0,23.0,,,108000000.0,0
286,Cleveland Cavaliers,2009,61.0,21.0,,,161000000.0,0
287,Utah Jazz,2009,53.0,29.0,,,121000000.0,0
288,San Antonio Spurs,2009,50.0,32.0,,,131000000.0,0
289,Atlanta Hawks,2009,53.0,29.0,,,105000000.0,0
290,Phoenix Suns,2009,54.0,28.0,,,147000000.0,0
291,Los Angeles Lakers,2009,57.0,25.0,91378064.0,125531770.0,214000000.0,0
292,Denver Nuggets,2009,53.0,29.0,,,113000000.0,0
293,Boston Celtics,2009,50.0,32.0,,,151000000.0,1
294,Portland Trail Blazers,2009,50.0,32.0,,,127000000.0,0
295,Oklahoma City Thunder,2009,50.0,32.0,,,118000000.0,0
296,Dallas Mavericks,2009,55.0,27.0,,,146000000.0,0
297,Miami Heat,2009,47.0,35.0,,,,0
298,Milwaukee Bucks,2009,46.0,36.0,,,92000000.0,0
299,Charlotte Bobcats,2009,44.0,38.0,,,98000000.0,0
300,Houston Rockets,2009,42.0,40.0,,,153000000.0,0
301,Memphis Grizzlies,2009,40.0,42.0,,,92000000.0,0
302,Chicago Bulls,2009,41.0,41.0,,,169000000.0,0
303,Toronto Raptors,2009,40.0,42.0,,,138000000.0,0
304,New Orleans Hornets,2009,37.0,45.0,,,,0
305,Indiana Pacers,2009,32.0,50.0,,,95000000.0,0
306,Golden State Warriors,2009,26.0,56.0,,,119000000.0,0
307,New York Knicks,2009,29.0,53.0,,,226000000.0,0
308,Philadelphia 76ers,2009,27.0,55.0,,,110000000.0,0
309,Sacramento Kings,2009,25.0,57.0,,,103000000.0,0
310,Washington Wizards,2009,26.0,56.0,,,107000000.0,0
311,Detroit Pistons,2009,27.0,55.0,,,147000000.0,0
312,Los Angeles Clippers,2009,29.0,53.0,61616409.0,84646315.0,102000000.0,0
313,Minnesota Timberwolves,2009,15.0,67.0,,,95000000.0,0
314,New Jersey Nets,2009,12.0,70.0,,,89000000.0,0
315,League Average,2009,,,,,,0
316,Team,2010,,,,,,0
317,Miami Heat,2010,58.0,24.0,,,,1
318,Chicago Bulls,2010,62.0,20.0,,,169000000.0,0
