team,wins,losses,season,payroll,inflationAdjPayroll,revenue
Team,,,2000,,,
San Antonio Spurs,58.0,24.0,2000,57215938.0,98339386.0,82000000.0
Sacramento Kings,55.0,27.0,2000,46266289.0,79519774.0,87000000.0
Utah Jazz,53.0,29.0,2000,53893860.0,92629595.0,88000000.0
Philadelphia 76ers,56.0,26.0,2000,51085458.0,87802677.0,103000000.0
Portland Trail Blazers,50.0,32.0,2000,87395140.0,150209627.0,103000000.0
Dallas Mavericks,53.0,29.0,2000,52274842.0,89846921.0,68000000.0
Milwaukee Bucks,52.0,30.0,2000,57819318.0,99376441.0,65000000.0
Los Angeles Lakers,56.0,26.0,2000,58968213.0,101351093.0,144000000.0
New York Knicks,48.0,34.0,2000,74007738.0,127200145.0,157000000.0
Miami Heat,50.0,32.0,2000,73472329.0,126279916.0,99000000.0
Toronto Raptors,47.0,35.0,2000,38313749.0,65851414.0,75000000.0
Houston Rockets,45.0,37.0,2000,49283309.0,84705250.0,81000000.0
Charlotte Hornets,46.0,36.0,2000,46441558.0,79821014.0,65000000.0
Phoenix Suns,51.0,31.0,2000,53906347.0,92651057.0,102000000.0
Minnesota Timberwolves,47.0,35.0,2000,47488500.0,81620437.0,77000000.0
Orlando Magic,43.0,39.0,2000,37459860.0,64383801.0,76000000.0
Seattle SuperSonics,44.0,38.0,2000,,,80000000.0
Indiana Pacers,41.0,41.0,2000,55086140.0,94678814.0,89000000.0
Detroit Pistons,32.0,50.0,2000,40475338.0,69566624.0,92000000.0
Boston Celtics,36.0,46.0,2000,51478707.0,88478570.0,81000000.0
Denver Nuggets,40.0,42.0,2000,52189220.0,89699760.0,72000000.0
Los Angeles Clippers,31.0,51.0,2000,29606189.0,50885371.0,68000000.0
Cleveland Cavaliers,30.0,52.0,2000,49780549.0,85559875.0,75000000.0
New Jersey Nets,26.0,56.0,2000,,,73000000.0
Atlanta Hawks,25.0,57.0,2000,39297129.0,67541590.0,76000000.0
Vancouver Grizzlies,23.0,59.0,2000,,,
Washington Wizards,19.0,63.0,2000,59085969.0,101553484.0,81000000.0
Golden State Warriors,17.0,65.0,2000,42363018.0,72811059.0,69000000.0
Chicago Bulls,15.0,67.0,2000,29691907.0,51032701.0,117000000.0
League Average,,,2000,,,
Team,,,2001,,,
Sacramento Kings,61.0,21.0,2001,54921012.0,91425274.0,87000000.0
Los Angeles Lakers,58.0,24.0,2001,54262017.0,90328263.0,144000000.0
San Antonio Spurs,58.0,24.0,2001,45844814.0,76316410.0,82000000.0
New Jersey Nets,52.0,30.0,2001,,,73000000.0
Dallas Mavericks,57.0,25.0,2001,57960080.0,96484312.0,68000000.0
Minnesota Timberwolves,50.0,32.0,2001,55093782.0,91712876.0,77000000.0
Portland Trail Blazers,49.0,33.0,2001,84292850.0,140319647.0,103000000.0
Seattle SuperSonics,45.0,37.0,2001,,,80000000.0
Boston Celtics,49.0,33.0,2001,47515677.0,79097845.0,81000000.0
Detroit Pistons,50.0,32.0,2001,42417677.0,70611365.0,92000000.0
Philadelphia 76ers,43.0,39.0,2001,58073366.0,96672896.0,103000000.0
Orlando Magic,44.0,38.0,2001,45984001.0,76548112.0,76000000.0
Utah Jazz,44.0,38.0,2001,52642362.0,87632078.0,88000000.0
Charlotte Hornets,44.0,38.0,2001,49999445.0,83232496.0,65000000.0
Indiana Pacers,42.0,40.0,2001,53398621.0,88890997.0,89000000.0
Milwaukee Bucks,41.0,41.0,2001,56224266.0,93594760.0,65000000.0
Los Angeles Clippers,39.0,43.0,2001,33849932.0,56348909.0,68000000.0
Toronto Raptors,42.0,40.0,2001,52657161.0,87656710.0,75000000.0
Phoenix Suns,36.0,46.0,2001,56596369.0,94214187.0,102000000.0
Washington Wizards,37.0,45.0,2001,54776087.0,91184019.0,81000000.0
Miami Heat,36.0,46.0,2001,53351186.0,88812030.0,99000000.0
Cleveland Cavaliers,29.0,53.0,2001,45649974.0,75992069.0,75000000.0
New York Knicks,30.0,52.0,2001,85993039.0,143149897.0,157000000.0
Atlanta Hawks,33.0,49.0,2001,51525207.0,85772381.0,76000000.0
Houston Rockets,28.0,54.0,2001,49168169.0,81848694.0,81000000.0
Golden State Warriors,21.0,61.0,2001,47681152.0,79373305.0,69000000.0
Denver Nuggets,27.0,55.0,2001,54460475.0,90658629.0,72000000.0
Memphis Grizzlies,23.0,59.0,2001,50920631.0,84765963.0,53000000.0
Chicago Bulls,21.0,61.0,2001,42592857.0,70902978.0,117000000.0
League Average,,,2001,,,
Team,,,2002,,,
Dallas Mavericks,60.0,22.0,2002,72940316.0,120139056.0,122000000.0
Sacramento Kings,59.0,23.0,2002,70416596.0,115982270.0,93000000.0
San Antonio Spurs,60.0,22.0,2002,53182559.0,87596308.0,113000000.0
New Jersey Nets,49.0,33.0,2002,,,98000000.0
Detroit Pistons,50.0,32.0,2002,47777888.0,78694343.0,118000000.0
Indiana Pacers,48.0,34.0,2002,53472323.0,88073576.0,103000000.0
Portland Trail Blazers,50.0,32.0,2002,105595657.0,173925253.0,83000000.0
Utah Jazz,47.0,35.0,2002,50934629.0,83893772.0,96000000.0
Los Angeles Lakers,50.0,32.0,2002,63151182.0,104015499.0,159000000.0
Philadelphia 76ers,48.0,34.0,2002,64822487.0,106768285.0,118000000.0
Minnesota Timberwolves,51.0,31.0,2002,59518801.0,98032650.0,94000000.0
New Orleans Hornets,47.0,35.0,2002,,,92000000.0
Houston Rockets,43.0,39.0,2002,50181239.0,82652870.0,
Phoenix Suns,44.0,38.0,2002,55225080.0,90960518.0,115000000.0
Orlando Magic,42.0,40.0,2002,50435346.0,83071410.0,88000000.0
Milwaukee Bucks,42.0,40.0,2002,57995152.0,95523069.0,85000000.0
Seattle SuperSonics,40.0,42.0,2002,,,86000000.0
Boston Celtics,44.0,38.0,2002,52548195.0,86551455.0,113000000.0
Washington Wizards,37.0,45.0,2002,46691190.0,76904456.0,106000000.0
Golden State Warriors,38.0,44.0,2002,47737715.0,78628174.0,87000000.0
New York Knicks,37.0,45.0,2002,93452379.0,153924217.0,170000000.0
Memphis Grizzlies,28.0,54.0,2002,61009172.0,100487421.0,84000000.0
Atlanta Hawks,35.0,47.0,2002,55711549.0,91761773.0,89000000.0
Los Angeles Clippers,27.0,55.0,2002,42955777.0,70751903.0,90000000.0
Chicago Bulls,30.0,52.0,2002,44531095.0,73346593.0,129000000.0
Miami Heat,25.0,57.0,2002,57378326.0,94507103.0,95000000.0
Toronto Raptors,24.0,58.0,2002,55408207.0,91262143.0,106000000.0
Denver Nuggets,17.0,65.0,2002,49109209.0,80887143.0,92000000.0
Cleveland Cavaliers,17.0,65.0,2002,49610448.0,81712729.0,103000000.0
League Average,,,2002,,,
Team,,,2003,,,
San Antonio Spurs,57.0,25.0,2003,46464064.0,74947262.0,105000000.0
Detroit Pistons,54.0,28.0,2003,53442834.0,86204128.0,102000000.0
Indiana Pacers,61.0,21.0,2003,58156236.0,93806919.0,94000000.0
Minnesota Timberwolves,58.0,24.0,2003,71272042.0,114962924.0,85000000.0
Sacramento Kings,55.0,27.0,2003,68372826.0,110286439.0,102000000.0
Dallas Mavericks,52.0,30.0,2003,79536723.0,128293984.0,117000000.0
Los Angeles Lakers,56.0,26.0,2003,64123085.0,103431541.0,149000000.0
New Jersey Nets,47.0,35.0,2003,,,94000000.0
Memphis Grizzlies,50.0,32.0,2003,57378323.0,92552133.0,63000000.0
Houston Rockets,45.0,37.0,2003,55401430.0,89363372.0,82000000.0
Denver Nuggets,43.0,39.0,2003,39398646.0,63550630.0,75000000.0
Milwaukee Bucks,41.0,41.0,2003,53229826.0,85860542.0,70000000.0
Miami Heat,42.0,40.0,2003,47349374.0,76375279.0,91000000.0
New Orleans Hornets,41.0,41.0,2003,,,80000000.0
Seattle SuperSonics,37.0,45.0,2003,,,70000000.0
Golden State Warriors,37.0,45.0,2003,53376708.0,86097462.0,70000000.0
Portland Trail Blazers,41.0,41.0,2003,82956768.0,133810569.0,
Utah Jazz,42.0,40.0,2003,34747674.0,56048537.0,85000000.0
Boston Celtics,36.0,46.0,2003,60185915.0,97080824.0,97000000.0
New York Knicks,39.0,43.0,2003,89444820.0,144275901.0,160000000.0
Philadelphia 76ers,33.0,49.0,2003,60411079.0,97444017.0,109000000.0
Cleveland Cavaliers,35.0,47.0,2003,46186472.0,74499502.0,72000000.0
Toronto Raptors,33.0,49.0,2003,63033243.0,101673609.0,96000000.0
Phoenix Suns,29.0,53.0,2003,66931770.0,107961996.0,109000000.0
Los Angeles Clippers,28.0,54.0,2003,39114363.0,63092076.0,72000000.0
Atlanta Hawks,28.0,54.0,2003,64497340.0,104035221.0,78000000.0
Washington Wizards,25.0,57.0,2003,45682902.0,73687234.0,98000000.0
Chicago Bulls,23.0,59.0,2003,55489797.0,89505911.0,119000000.0
Orlando Magic,21.0,61.0,2003,50588419.0,81599909.0,80000000.0
League Average,,,2003,,,
Team,,,2004,,,
San Antonio Spurs,59.0,23.0,2004,47504123.0,74201333.0,121000000.0
Phoenix Suns,62.0,20.0,2004,44598682.0,69663040.0,132000000.0
Miami Heat,59.0,23.0,2004,59523529.0,92975618.0,119000000.0
Dallas Mavericks,58.0,24.0,2004,91908443.0,143560784.0,124000000.0
Houston Rockets,51.0,31.0,2004,60284303.0,94163947.0,141000000.0
Detroit Pistons,54.0,28.0,2004,54762481.0,85538871.0,134000000.0
Seattle SuperSonics,52.0,30.0,2004,,,81000000.0
Memphis Grizzlies,45.0,37.0,2004,67010830.0,104670765.0,98000000.0
Sacramento Kings,50.0,32.0,2004,61807688.0,96543472.0,119000000.0
Denver Nuggets,49.0,33.0,2004,46101759.0,72010845.0,
Minnesota Timberwolves,44.0,38.0,2004,70123411.0,109532614.0,101000000.0
Chicago Bulls,47.0,35.0,2004,57276129.0,89465182.0,136000000.0
Boston Celtics,45.0,37.0,2004,64577356.0,100869682.0,110000000.0
Cleveland Cavaliers,42.0,40.0,2004,49175274.0,76811666.0,102000000.0
Indiana Pacers,44.0,38.0,2004,66064780.0,103193038.0,108000000.0
Washington Wizards,45.0,37.0,2004,49797050.0,77782880.0,106000000.0
Philadelphia 76ers,43.0,39.0,2004,71951878.0,112388675.0,110000000.0
Los Angeles Clippers,37.0,45.0,2004,45483265.0,71044757.0,83000000.0
New Jersey Nets,42.0,40.0,2004,,,87000000.0
Toronto Raptors,33.0,49.0,2004,61703775.0,96381158.0,94000000.0
Golden State Warriors,34.0,48.0,2004,54943723.0,85821972.0,81000000.0
Orlando Magic,36.0,46.0,2004,66445249.0,103787330.0,82000000.0
New York Knicks,33.0,49.0,2004,102567539.0,160210270.0,181000000.0
Milwaukee Bucks,30.0,52.0,2004,57448246.0,89734030.0,78000000.0
Los Angeles Lakers,34.0,48.0,2004,65059098.0,101622167.0,156000000.0
Portland Trail Blazers,27.0,55.0,2004,83671309.0,130694399.0,78000000.0
Utah Jazz,26.0,56.0,2004,43515760.0,67971518.0,91000000.0
Charlotte Bobcats,18.0,64.0,2004,,,73000000.0
New Orleans Hornets,18.0,64.0,2004,,,78000000.0
Atlanta Hawks,13.0,69.0,2004,41059616.0,64135028.0,87000000.0
League Average,,,2004,,,
Team,,,2005,,,
San Antonio Spurs,63.0,19.0,2005,63570274.0,96846117.0,131000000.0
Detroit Pistons,64.0,18.0,2005,59619275.0,90826969.0,154000000.0
Dallas Mavericks,60.0,22.0,2005,98454832.0,149990990.0,140000000.0
Phoenix Suns,54.0,28.0,2005,53626924.0,81697921.0,145000000.0
Memphis Grizzlies,49.0,33.0,2005,67525538.0,102871764.0,98000000.0
Miami Heat,52.0,30.0,2005,60732452.0,92522835.0,131000000.0
Los Angeles Lakers,45.0,37.0,2005,72917945.0,111086824.0,168000000.0
Cleveland Cavaliers,50.0,32.0,2005,51303962.0,78159006.0,152000000.0
Indiana Pacers,41.0,41.0,2005,78791779.0,120035315.0,107000000.0
Washington Wizards,42.0,40.0,2005,54555947.0,83113242.0,112000000.0
Sacramento Kings,44.0,38.0,2005,62811975.0,95690888.0,128000000.0
Los Angeles Clippers,47.0,35.0,2005,51358645.0,78242312.0,98000000.0
New Jersey Nets,49.0,33.0,2005,,,102000000.0
Chicago Bulls,41.0,41.0,2005,57166530.0,87090333.0,161000000.0
Denver Nuggets,44.0,38.0,2005,56492172.0,86062985.0,104000000.0
Milwaukee Bucks,40.0,42.0,2005,63022514.0,96011630.0,88000000.0
Orlando Magic,36.0,46.0,2005,75784782.0,115454308.0,92000000.0
Golden State Warriors,34.0,48.0,2005,57114566.0,87011173.0,103000000.0
Houston Rockets,34.0,48.0,2005,69257404.0,105510172.0,149000000.0
Boston Celtics,33.0,49.0,2005,56907300.0,86695411.0,117000000.0
Minnesota Timberwolves,33.0,49.0,2005,61830186.0,94195177.0,103000000.0
Philadelphia 76ers,38.0,44.0,2005,84807300.0,129199660.0,112000000.0
Utah Jazz,41.0,41.0,2005,57372902.0,87404731.0,114000000.0
New Orleans/Oklahoma City Hornets,38.0,44.0,2005,,,
Toronto Raptors,27.0,55.0,2005,62411884.0,95081368.0,124000000.0
Seattle SuperSonics,35.0,47.0,2005,,,81000000.0
Charlotte Bobcats,26.0,56.0,2005,,,93000000.0
Atlanta Hawks,26.0,56.0,2005,42944553.0,65423864.0,95000000.0
New York Knicks,23.0,59.0,2005,126631098.0,192916121.0,185000000.0
Portland Trail Blazers,21.0,61.0,2005,60017964.0,91434350.0,82000000.0
League Average,,,2005,,,
Team,,,2006,,,
San Antonio Spurs,58.0,24.0,2006,65654320.0,95880216.0,131000000.0
Dallas Mavericks,67.0,15.0,2006,88531846.0,129290082.0,140000000.0
Phoenix Suns,61.0,21.0,2006,65841120.0,96153014.0,145000000.0
Chicago Bulls,49.0,33.0,2006,54754904.0,79962932.0,161000000.0
Houston Rockets,52.0,30.0,2006,63837566.0,93227062.0,149000000.0
Detroit Pistons,53.0,29.0,2006,59010951.0,86178374.0,154000000.0
Cleveland Cavaliers,50.0,32.0,2006,62992729.0,91993282.0,152000000.0
Utah Jazz,51.0,31.0,2006,62364364.0,91075629.0,114000000.0
Denver Nuggets,45.0,37.0,2006,65517776.0,95680807.0,104000000.0
Toronto Raptors,47.0,35.0,2006,51015491.0,74501967.0,124000000.0
Orlando Magic,40.0,42.0,2006,61447108.0,89736088.0,92000000.0
Los Angeles Lakers,42.0,40.0,2006,77099949.0,112595178.0,170000000.0
Golden State Warriors,42.0,40.0,2006,65012368.0,94942718.0,103000000.0
Washington Wizards,41.0,41.0,2006,62733705.0,91615008.0,112000000.0
Los Angeles Clippers,40.0,42.0,2006,59181038.0,86426765.0,98000000.0
New Jersey Nets,41.0,41.0,2006,,,102000000.0
Miami Heat,44.0,38.0,2006,64416312.0,94072248.0,131000000.0
New Orleans/Oklahoma City Hornets,39.0,43.0,2006,,,
Sacramento Kings,33.0,49.0,2006,64296611.0,93897442.0,128000000.0
Indiana Pacers,35.0,47.0,2006,63118965.0,92177635.0,107000000.0
Seattle SuperSonics,31.0,51.0,2006,,,81000000.0
New York Knicks,33.0,49.0,2006,117350866.0,171376790.0,196000000.0
Philadelphia 76ers,35.0,47.0,2006,69140163.0,100970867.0,112000000.0
Boston Celtics,24.0,58.0,2006,62981479.0,91976850.0,117000000.0
Minnesota Timberwolves,32.0,50.0,2006,66820673.0,97583533.0,103000000.0
Charlotte Bobcats,33.0,49.0,2006,,,93000000.0
Milwaukee Bucks,28.0,54.0,2006,63498518.0,92731925.0,88000000.0
Portland Trail Blazers,32.0,50.0,2006,75026386.0,109566990.0,82000000.0
Atlanta Hawks,30.0,52.0,2006,48581972.0,70948106.0,95000000.0
Memphis Grizzlies,22.0,60.0,2006,61960489.0,90485819.0,98000000.0
League Average,,,2006,,,
Team,,,2007,,,
Boston Celtics,66.0,16.0,2007,74509455.0,105964761.0,151000000.0
Detroit Pistons,59.0,23.0,2007,65898875.0,93719090.0,147000000.0
Los Angeles Lakers,57.0,25.0,2007,72626796.0,103287307.0,214000000.0
Utah Jazz,54.0,28.0,2007,64959089.0,92382560.0,121000000.0
Orlando Magic,52.0,30.0,2007,58165973.0,82721625.0,108000000.0
New Orleans Hornets,56.0,26.0,2007,,,
San Antonio Spurs,56.0,26.0,2007,70048523.0,99620574.0,135000000.0
Houston Rockets,55.0,27.0,2007,69894114.0,99400981.0,153000000.0
Phoenix Suns,55.0,27.0,2007,71323049.0,101433166.0,147000000.0
Dallas Mavericks,51.0,31.0,2007,101694879.0,144626929.0,146000000.0
Denver Nuggets,50.0,32.0,2007,82958227.0,117980313.0,113000000.0
Toronto Raptors,41.0,41.0,2007,66042375.0,93923170.0,138000000.0
Golden State Warriors,48.0,34.0,2007,62148303.0,88385154.0,119000000.0
Philadelphia 76ers,40.0,42.0,2007,74038229.0,105294598.0,110000000.0
Washington Wizards,43.0,39.0,2007,65278996.0,92837520.0,107000000.0
Cleveland Cavaliers,45.0,37.0,2007,82217583.0,116926993.0,161000000.0
Portland Trail Blazers,41.0,41.0,2007,73241335.0,104161282.0,127000000.0
Indiana Pacers,36.0,46.0,2007,66260246.0,94233021.0,
Atlanta Hawks,37.0,45.0,2007,55501133.0,78931784.0,105000000.0
Sacramento Kings,38.0,44.0,2007,63403225.0,90169860.0,103000000.0
Chicago Bulls,33.0,49.0,2007,63084166.0,89716109.0,169000000.0
Charlotte Bobcats,32.0,50.0,2007,,,98000000.0
New Jersey Nets,34.0,48.0,2007,,,89000000.0
Memphis Grizzlies,22.0,60.0,2007,54118526.0,76965485.0,92000000.0
New York Knicks,23.0,59.0,2007,96190114.0,136798241.0,226000000.0
Minnesota Timberwolves,22.0,60.0,2007,69043895.0,98191828.0,95000000.0
Milwaukee Bucks,26.0,56.0,2007,62571522.0,88987044.0,92000000.0
Los Angeles Clippers,23.0,59.0,2007,64847945.0,92224494.0,102000000.0
Seattle SuperSonics,20.0,62.0,2007,,,
Miami Heat,15.0,67.0,2007,74767603.0,106331889.0,
League Average,,,2007,,,
Team,,,2008,,,
Cleveland Cavaliers,66.0,16.0,2008,91298233.0,123632608.0,161000000.0
Boston Celtics,62.0,20.0,2008,79188973.0,107234707.0,151000000.0
Los Angeles Lakers,65.0,17.0,2008,78245793.0,105957488.0,214000000.0
Orlando Magic,59.0,23.0,2008,69672979.0,94348506.0,108000000.0
Portland Trail Blazers,54.0,28.0,2008,80260059.0,108685129.0,127000000.0
Houston Rockets,53.0,29.0,2008,73302272.0,99263157.0,153000000.0
San Antonio Spurs,54.0,28.0,2008,68020487.0,92110764.0,135000000.0
Denver Nuggets,54.0,28.0,2008,70121003.0,94955202.0,113000000.0
Utah Jazz,48.0,34.0,2008,65841407.0,89159939.0,121000000.0
Dallas Mavericks,50.0,32.0,2008,95045559.0,128707094.0,146000000.0
Phoenix Suns,46.0,36.0,2008,76130408.0,103092915.0,147000000.0
Atlanta Hawks,47.0,35.0,2008,68168841.0,92311660.0,105000000.0
New Orleans Hornets,49.0,33.0,2008,,,
Miami Heat,43.0,39.0,2008,70297059.0,95193612.0,
Philadelphia 76ers,41.0,41.0,2008,68301007.0,92490635.0,110000000.0
Chicago Bulls,41.0,41.0,2008,68126774.0,92254694.0,169000000.0
Detroit Pistons,39.0,43.0,2008,71434174.0,96733451.0,147000000.0
Indiana Pacers,36.0,46.0,2008,69668818.0,94342872.0,
Milwaukee Bucks,34.0,48.0,2008,71360656.0,96633892.0,92000000.0
Charlotte Bobcats,35.0,47.0,2008,,,98000000.0
New York Knicks,32.0,50.0,2008,96643646.0,130871164.0,226000000.0
New Jersey Nets,34.0,48.0,2008,,,89000000.0
Toronto Raptors,33.0,49.0,2008,73446970.0,99459103.0,138000000.0
Golden State Warriors,29.0,53.0,2008,67416431.0,91292774.0,119000000.0
Minnesota Timberwolves,24.0,58.0,2008,66445144.0,89977494.0,95000000.0
Memphis Grizzlies,24.0,58.0,2008,55958148.0,75776400.0,92000000.0
Oklahoma City Thunder,23.0,59.0,2008,68341605.0,92545606.0,118000000.0
Washington Wizards,19.0,63.0,2008,70743317.0,95797917.0,107000000.0
Sacramento Kings,17.0,65.0,2008,69204512.0,93714124.0,103000000.0
Los Angeles Clippers,19.0,63.0,2008,62764206.0,84992906.0,102000000.0
League Average,,,2008,,,
Team,,,2009,,,
Orlando Magic,59.0,23.0,2009,82200916.0,112924547.0,108000000.0
Cleveland Cavaliers,61.0,21.0,2009,83398534.0,114569789.0,161000000.0
Utah Jazz,53.0,29.0,2009,71905244.0,98780738.0,121000000.0
San Antonio Spurs,50.0,32.0,2009,79338309.0,108992004.0,131000000.0
Atlanta Hawks,53.0,29.0,2009,65883642.0,90508483.0,105000000.0
Phoenix Suns,54.0,28.0,2009,65288544.0,89690960.0,147000000.0
Los Angeles Lakers,57.0,25.0,2009,91378064.0,125531770.0,214000000.0
Denver Nuggets,53.0,29.0,2009,74935538.0,102943641.0,113000000.0
Boston Celtics,50.0,32.0,2009,83552174.0,114780852.0,151000000.0
Portland Trail Blazers,50.0,32.0,2009,56946258.0,78230639.0,127000000.0
Oklahoma City Thunder,50.0,32.0,2009,58578614.0,80473103.0,118000000.0
Dallas Mavericks,55.0,27.0,2009,88916075.0,122149580.0,146000000.0
Miami Heat,47.0,35.0,2009,74208013.0,101944193.0,
Milwaukee Bucks,46.0,36.0,2009,66775602.0,91733823.0,92000000.0
Charlotte Bobcats,44.0,38.0,2009,,,98000000.0
Houston Rockets,42.0,40.0,2009,69095315.0,94920556.0,153000000.0
Memphis Grizzlies,40.0,42.0,2009,57287474.0,78699387.0,92000000.0
Chicago Bulls,41.0,41.0,2009,69700359.0,95751745.0,169000000.0
Toronto Raptors,40.0,42.0,2009,67822433.0,93171922.0,138000000.0
New Orleans Hornets,37.0,45.0,2009,,,
Indiana Pacers,32.0,50.0,2009,66733257.0,91675652.0,95000000.0
Golden State Warriors,26.0,56.0,2009,65352372.0,89778643.0,119000000.0
New York Knicks,29.0,53.0,2009,85710076.0,117745296.0,226000000.0
Philadelphia 76ers,27.0,55.0,2009,64883448.0,89134455.0,110000000.0
Sacramento Kings,25.0,57.0,2009,67515718.0,92750564.0,103000000.0
Washington Wizards,26.0,56.0,2009,73440274.0,100889502.0,107000000.0
Detroit Pistons,27.0,55.0,2009,60185833.0,82681047.0,147000000.0
Los Angeles Clippers,29.0,53.0,2009,61616409.0,84646315.0,102000000.0
Minnesota Timberwolves,15.0,67.0,2009,62253360.0,85521336.0,95000000.0
New Jersey Nets,12.0,70.0,2009,,,89000000.0
League Average,,,2009,,,
Team,,,2010,,,
Miami Heat,58.0,24.0,2010,66205855.0,90003080.0,
Chicago Bulls,62.0,20.0,2010,54538076.0,74141403.0,169000000.0
Los Angeles Lakers,57.0,25.0,2010,91428140.0,124291341.0,214000000.0
San Antonio Spurs,61.0,21.0,2010,69522311.0,94511612.0,
Boston Celtics,56.0,26.0,2010,82045867.0,111536674.0,151000000.0
