team,wins,losses,season,payroll,inflationAdjPayroll,revenue,superteam,cost_per_win,revenue_per_win
Dallas Mavericks,60.0,22.0,2005,98454832.0,149990990.0,140000000.0,No,1640913.8666666667,2333333.3333333335
Phoenix Suns,54.0,28.0,2005,53626924.0,81697921.0,145000000.0,No,993091.1851851852,2685185.185185185
Memphis Grizzlies,49.0,33.0,2005,67525538.0,102871764.0,98000000.0,No,1378072.2040816327,2000000.0
Miami Heat,52.0,30.0,2005,60732452.0,92522835.0,131000000.0,No,1167931.7692307692,2519230.769230769
Los Angeles Lakers,45.0,37.0,2005,72917945.0,111086824.0,168000000.0,No,1620398.7777777778,3733333.3333333335
Cleveland Cavaliers,50.0,32.0,2005,51303962.0,78159006.0,152000000.0,No,1026079.24,3040000.0
Indiana Pacers,41.0,41.0,2005,78791779.0,120035315.0,107000000.0,No,1921750.7073170731,2609756.0975609757
Washington Wizards,42.0,40.0,2005,54555947.0,83113242.0,112000000.0,No,1298951.119047619,2666666.6666666665
Sacramento Kings,44.0,38.0,2005,62811975.0,95690888.0,128000000.0,No,1427544.8863636365,2909090.909090909
Los Angeles Clippers,47.0,35.0,2005,51358645.0,78242312.0,98000000.0,No,1092737.1276595744,2085106.3829787234
New Jersey Nets,49.0,33.0,2005,,,102000000.0,No,,2081632.6530612244
Chicago Bulls,41.0,41.0,2005,57166530.0,87090333.0,161000000.0,No,1394305.6097560977,3926829.2682926827
Denver Nuggets,44.0,38.0,2005,56492172.0,86062985.0,104000000.0,No,1283913.0,2363636.3636363638
Milwaukee Bucks,40.0,42.0,2005,63022514.0,96011630.0,88000000.0,No,1575562.85,2200000.0
Orlando Magic,36.0,46.0,2005,75784782.0,115454308.0,92000000.0,No,2105132.8333333335,2555555.5555555555
Golden State Warriors,34.0,48.0,2005,57114566.0,87011173.0,103000000.0,No,1679840.1764705882,3029411.7647058824
Houston Rockets,34.0,48.0,2005,69257404.0,105510172.0,149000000.0,No,2036982.4705882352,4382352.94117647
Boston Celtics,33.0,49.0,2005,56907300.0,86695411.0,117000000.0,No,1724463.6363636365,3545454.5454545454
